,Ticker,Long_Name,Start_date,End_date,Start_value,End_value,Pct,Volume_start,Volume_end,marketCap_up_to_2022-10-09,Sector,Industry,Benchmark_start,Benchmark_end,pct_benchmark
0,LTBR,Lightbridge Corporation,2021-12-31,2022-01-03,6.630000114440918,7.489999771118164,12.97%,172300,219400,54175856,Industrials,Electrical Equipment & Parts,135.32000732421875,136.0500030517578,0.54%
1,LTBR,Lightbridge Corporation,2021-12-31,2022-01-04,6.630000114440918,7.409999847412109,11.76%,172300,153100,54175856,Industrials,Electrical Equipment & Parts,135.32000732421875,136.0500030517578,0.54%
2,LTBR,Lightbridge Corporation,2021-12-31,2022-01-05,6.630000114440918,7.329999923706055,10.56%,172300,299200,54175856,Industrials,Electrical Equipment & Parts,135.32000732421875,133.77000427246094,-1.15%
3,LTBR,Lightbridge Corporation,2021-12-31,2022-01-06,6.630000114440918,7.340000152587891,10.71%,172300,257100,54175856,Industrials,Electrical Equipment & Parts,135.32000732421875,133.52000427246094,-1.33%
4,LTBR,Lightbridge Corporation,2021-12-31,2022-01-07,6.630000114440918,7.260000228881836,9.5%,172300,184400,54175856,Industrials,Electrical Equipment & Parts,135.32000732421875,133.19000244140625,-1.57%
5,LTBR,Lightbridge Corporation,2021-12-31,2022-01-10,6.630000114440918,7.170000076293945,8.14%,172300,248900,54175856,Industrials,Electrical Equipment & Parts,135.32000732421875,132.63999938964844,-1.98%
6,LTBR,Lightbridge Corporation,2021-12-31,2022-01-11,6.630000114440918,7.050000190734863,6.33%,172300,113500,54175856,Industrials,Electrical Equipment & Parts,135.32000732421875,134.02000427246094,-0.96%
7,LTBR,Lightbridge Corporation,2021-12-31,2022-01-12,6.630000114440918,7.389999866485596,11.46%,172300,218300,54175856,Industrials,Electrical Equipment & Parts,135.32000732421875,134.61000061035156,-0.52%
8,LTBR,Lightbridge Corporation,2022-01-18,2022-02-01,6.010000228881836,6.349999904632568,5.66%,236600,150900,54175856,Industrials,Electrical Equipment & Parts,130.61000061035156,129.3699951171875,-0.95%
9,LTBR,Lightbridge Corporation,2022-01-18,2022-02-09,6.010000228881836,6.75,12.31%,236600,135700,54175856,Industrials,Electrical Equipment & Parts,130.61000061035156,130.9499969482422,0.26%
10,LTBR,Lightbridge Corporation,2022-01-18,2022-02-10,6.010000228881836,6.650000095367432,10.65%,236600,264000,54175856,Industrials,Electrical Equipment & Parts,130.61000061035156,128.91000366210938,-1.3%
11,LTBR,Lightbridge Corporation,2022-01-18,2022-02-11,6.010000228881836,6.599999904632568,9.82%,236600,108400,54175856,Industrials,Electrical Equipment & Parts,130.61000061035156,126.63999938964844,-3.04%
12,LTBR,Lightbridge Corporation,2022-01-18,2022-02-14,6.010000228881836,6.46999979019165,7.65%,236600,103000,54175856,Industrials,Electrical Equipment & Parts,130.61000061035156,126.11000061035156,-3.45%
13,LTBR,Lightbridge Corporation,2022-01-18,2022-02-15,6.010000228881836,6.980000019073486,16.14%,236600,91300,54175856,Industrials,Electrical Equipment & Parts,130.61000061035156,128.3000030517578,-1.77%
14,LTBR,Lightbridge Corporation,2022-01-18,2022-02-16,6.010000228881836,7.010000228881836,16.64%,236600,121700,54175856,Industrials,Electrical Equipment & Parts,130.61000061035156,128.52999877929688,-1.59%
15,LTBR,Lightbridge Corporation,2022-01-19,2022-02-01,6.0,6.349999904632568,5.83%,122000,150900,54175856,Industrials,Electrical Equipment & Parts,129.6699981689453,129.3699951171875,-0.23%
